Pol,5,E,1,2016,9,2016-09-07,Aplic. de gastos,,0,,73454pn007tz,0,2016-09-08 17:09:01,0
Poldet,5,1,602.65.65,100000,0,Aplic. de gastos fact 573,
Pol,44,E,33,2016,9,2016-09-01,aplic. de pago a proveedor,,0,,,0,2016-09-14 14:09:18,0,
Poldet,44,1,201.01.11,50874.12,0,Pago de fact BQ16043,
Poldet,44,2,201.01.11,74611.19,0,Pago de factura BQ16048,
Poldet,44,3,201.01.11,4313.77,0,Pago de factura BQ16052,
Poldet,44,4,102.01.01,0,129799.08,Pago con transferencia,
Pol,45,E,34,2016,9,2016-09-01,aplic. de pago a proveedor,,0,,,0,2016-09-14 14:09:38,0,
Poldet,45,1,201.01.02,7050.48,0,Pago de factura LF98823,
Poldet,45,2,201.01.02,16820,0,Pago de factura LF98824,
Poldet,45,3,102.01.01,0,23870.48,Pago con transferencia,
Pol,46,E,35,2016,9,2016-09-14,Aplic. de gastos,,0,,,0,2016-09-14 18:09:04,0,
Poldet,46,1,602.65.26,745.69,0,Aplic. de gastos fact 22234,
Poldet,46,2,118.01,119.31,0,iva de fact-22234,
Poldet,46,3,102.01.01,0,865,Pago con transferencia,
Pol,47,E,36,2016,9,2016-09-14,Aplic. de gastos,,0,,,0,2016-09-14 18:09:54,0,
Poldet,47,1,602.65.48,838.62,0,Aplic. de gastos,
Poldet,47,2,118.01,134.17,0,iva de gastos fact 5867,
Poldet,47,3,102.01.01,0,972.79,Pago con transferencia,
Pol,48,E,37,2016,9,2016-09-14,gastos viaje a guadalajara,,0,,,0,2016-09-14 18:09:41,0,
Poldet,48,1,603.49.36,177.83,0,Aplic. de gastos,
Poldet,48,18,603.49.42,2880.05,0,Aplic. de gastos,
Poldet,48,3,603.49.40,380.17,0,Aplic. de gastos,
Poldet,48,4,603.49.39,2574.88,0,Aplic. de gastos,
Poldet,48,5,603.49.38,330,0,Aplic. de gastos,
Poldet,48,6,603.49.37,138.28,0,Aplic. de gastos,
Poldet,48,7,603.49.35,33.33,0,Aplic. de gastos,
Poldet,48,8,603.49.34,43.07,0,Aplic. de gastos,
Poldet,48,9,603.49.33,90.63,0,Aplic. de gastos,
Poldet,48,10,603.49.32,76.76,0,Aplic. de gastos,
Poldet,48,11,603.49.31,71.32,0,Aplic. de gastos,
Poldet,48,12,603.49.30,21.55,0,Aplic. de gastos,
Poldet,48,13,603.49.29,78.18,0,Aplic. de gastos,
Poldet,48,14,603.49.28,21.55,0,Aplic. de gastos,
Poldet,48,15,603.49.27,77.49,0,Aplic. de gastos,
Poldet,48,16,603.49.26,331.03,0,Aplic. de gastos,
Poldet,48,17,118.01,1095.51,0,Aplic. de iva,
Poldet,48,19,603.49.41,849,0,Aplic. de gastos,
Poldet,48,20,102.01.01,0,9270.63,Pago con transferencia,
Pol,49,D,1,2016,9,2016-09-14,Aplicacion rep gastos,,0,,,0,2016-09-15 10:09:48,0,
Poldet,49,1,601.83,81.5,0,pago luz r-5,
Poldet,49,2,602.83,100,0,llevar agencia mirage,
Poldet,49,3,602.83,541.02,0,compra gas lp,
Poldet,49,4,602.83,332.99,0,compra gas lp,
Poldet,49,5,602.50.01,4380.17,0,pago telmex fac-4948,
Poldet,49,6,118.01,700.83,0,iva pago telmex fac-4948,
Poldet,49,7,602.48.08,237.83,0,compra gaslp fac-4707,
Poldet,49,8,118.01,38.05,0,iva fac-4707,
Poldet,49,9,602.48.08,466.47,0,compra gas lp fac-4708,
Poldet,49,10,118.01,74.64,0,iva fac-4708,
Poldet,49,11,602.65.41,724.14,0,compra cemento fac-3934,
Poldet,49,12,118.01,115.86,0,compra cemento fac-3934,
Poldet,49,13,602.58.10,1461,0,multa tesoreria f-7414,
Poldet,49,14,602.58.10,1461,0,multa tesoreria f-8757,
Poldet,49,15,602.58.10,1461,0,multa tesoreria f-8756,
Poldet,49,16,602.83,500,0,viaje a chetumal,
Poldet,49,17,602.84.16,169.2,0,compra thinner fac-123,
Poldet,49,18,118.01,27.07,0,compra thinner fac-123,
Poldet,49,19,602.56.15,70.07,0,compra banda fac-2994,
Poldet,49,20,118.01,11.21,0,compra banda fac-2994,
Poldet,49,21,602.56.71,500,0,reparacion nissan fac-208,
Poldet,49,22,118.01,80,0,reparacion nissan fac-208,
Poldet,49,23,602.65.55,254.3,0,compra clavo fac-9381,
Poldet,49,24,118.01,40.68,0,compra clavo fac-9381,
Poldet,49,25,602.65.42,65.96,0,compra curvas fac-3250,
Poldet,49,26,118.01,10.55,0,compra curvas fac-3250,
Poldet,49,27,602.65.42,73.72,0,compra tubo fac-3238,
Poldet,49,28,118.01,11.79,0,compra tubo fac-3238,
Poldet,49,29,,0,0,,
Poldet,49,30,602.56.80,1510.86,0,compra bulbo fac-8687,
Poldet,49,31,118.01,241.74,0,compra bulbo fac-8687,
Poldet,49,32,602.65.42,239.07,0,compra apagadores fac-3261,
Poldet,49,33,118.01,38.25,0,compra apagadores fac-3261,
Poldet,49,34,602.65.27,36.09,0,compra portalamparas fac-6498,
Poldet,49,35,118.01,5.78,0,compra portalamparas fac-6498,
Poldet,49,36,602.58.10,440,0,rec. basura relleno sanitario f-2454,
Poldet,49,37,602.65.41,770.7,0,compra cemento fac-3915,
Poldet,49,38,118.01,123.3,0,compra cemento fac-3915,
Poldet,49,39,101.01.02,0,17396.84,Aplicacion efectivo,
Pol,50,E,38,2016,9,2016-09-14,aplic. de gastos fact,,0,,,0,2016-09-15 11:09:32,0,
Poldet,50,1,603.56.08,5700,0,aplic. de gastos por act de sofware,
Poldet,50,2,118.01,912,0,Iva de gastos,
Poldet,50,3,102.01.01,0,6612,Pago con transferencia,
Pol,51,E,39,2016,9,2016-09-14,Aplic. de gastos,,0,,,0,2016-09-15 13:09:36,0,
Poldet,51,1,602.48.29,173.14,0,Aplic. de gastos,
Poldet,51,2,118.01,26.86,0,iva de gastos,
Poldet,51,3,102.01.01,0,200,Pago con transferencia,
Pol,52,E,40,2016,9,2016-09-14,Aplic. de gastos fact-6,,0,,,0,2016-09-15 13:09:16,0,
Poldet,52,1,603.56.03,5562.09,0,Aplic. de gastos fac-6,
Poldet,52,2,118.01,889.93,0,Iva de gastos,
Poldet,52,3,102.01.01,0,6452.02,Pago con transferencia,
Pol,53,E,41,2016,9,2016-09-14,Aplic. de pago a tercero,,0,,,0,2016-09-15 14:09:39,0,
Poldet,53,1,101.01.02,17396.84,0,Aplic. de pago a tercero,
Poldet,53,2,102.01.01,0,17396.84,Pago con transferencia,
Pol,54,E,42,2016,9,2016-09-14,Aplic. de pagos a proveedor,,0,,,0,2016-09-20 17:09:21,0,
Poldet,54,1,201.01.23,75632,0,Pago de factura 922624,
Poldet,54,2,102.01.01,0,75632,Pago con transferencia,
Pol,55,E,43,2016,9,2016-09-14,aplic. de pago a proveedor,,0,,,0,2016-09-20 17:09:46,0,
Poldet,55,1,201.01.22,226907.89,0,Factura 252175 y 252508,
Poldet,55,2,102.01.01,0,226907.89,Pago con transferencia,
Pol,56,E,44,2016,9,2016-09-14,aplic. de pago a proveedor,,0,,,0,2016-09-20 17:09:29,0,
Poldet,56,1,201.01.18,391934.15,0,Pago de factura AB9644,
Poldet,56,2,102.01.01,0,391934.15,Pago con transferencia,
Pol,57,E,45,2016,9,2016-09-14,aplic. de pago a proveedor,,0,,,0,2016-09-20 17:09:51,0,
Poldet,57,1,201.01.25,432235.34,0,pago de factura 9007386211,
Poldet,57,2,102.01.01,0,432235.34,Pago con transferencia,
Pol,58,E,46,2016,9,2016-09-14,aplic. de pago a proveedor,,0,,,0,2016-09-20 17:09:33,0,
Poldet,58,1,201.01.03,460974.84,0,Pago de factura FP46105,
Poldet,58,2,102.01.01,0,460974.84,Pago con transferencia,
Pol,59,E,47,2016,9,2016-09-14,aplic. de pago a proveedor,,0,,,0,2016-09-20 17:09:46,0,
Poldet,59,1,201.01.16,97940.68,0,Pago de factura 2310938889,
Poldet,59,2,201.01.16,87375.97,0,pago de fact2310939045,
Poldet,59,3,201.01.16,63294.05,0,Pago de fact-2310939717,
Poldet,59,4,201.01.16,372412.58,0,Pago de factura 2310939118,
Poldet,59,5,102.01.01,0,757359.92,Pago con transferencia,
Poldet,59,6,201.01.16,78606.36,0,Pago de fact-2310940058,
Poldet,59,7,201.01.16,57730.28,0,Pago de fact-2310941195,
Pol,60,E,48,2016,9,2016-09-14,aplic. de pago a proveedor,,0,,,0,2016-09-20 19:09:35,0,
Poldet,60,1,201.01.27,368104.79,0,Pago de factura 1641815,
Poldet,60,2,102.01.01,0,368104.79,Pago con transferencia,
Poldet,60,3,118.01,50773.08,0,Aplic. de iva pagado,
Poldet,60,4,119.01,0,50773.08,Aplic. de iva pagado,
Pol,61,E,49,2016,9,2016-09-14,aplic. de pago a proveedor,,0,,,0,2016-09-20 19:09:12,0,
Poldet,61,1,201.01.43,2900,0,Pago de factuta 23,
Poldet,61,2,102.01.01,0,2900,Pago con transferencia,
Poldet,61,3,118.01,400,0,Iva pagado,
Poldet,61,4,119.01,0,400,Aplic. de iva pagado,
Pol,62,I,8,2016,9,2016-09-21,Aplicacion depositos ventas (rep),,0,,,0,2016-09-22 09:09:05,0,
Poldet,62,1,102.01.02,16045.71,0,20 septiembre 2016,
Poldet,62,2,102.01.02,19000,0,15 septiembre 2016,
Poldet,62,3,101.01.01,0,35045.71,Aplicacion efectivo,
Pol,63,D,2,2016,9,2016-09-15,Aplicacion rep gastos,,0,,,0,2016-09-22 11:09:21,0,
Poldet,63,1,602.12,1942.85,0,Jose Edward Aranda Trejo,
Poldet,63,2,602.06,971.42,0,Jose Edward Aranda Trejo,
Poldet,63,3,602.07,242.85,0,Jose Edward Aranda Trejo,
Poldet,63,4,602.11,1752.96,0,Jose Edward Aranda Trejo,
Poldet,63,5,602.13,10889.92,0,Jose Edward Aranda Trejo,
Poldet,63,6,602.83,200,0,Jose Edward Aranda Trejo,
Poldet,63,7,101.01.02,0,16000,Aplicacion efectivo,
Pol,64,D,3,2016,9,2016-09-21,Aplicacion gastos saul,,0,,,0,2016-09-22 11:09:35,0,
Poldet,64,1,601.83,509,0,deposito saul,
Poldet,64,2,601.83,7000,0,saul,
Poldet,64,3,601.83,100000,0,saul,
Poldet,64,4,601.83,100000,0,saul,
Poldet,64,5,601.83,40000,0,saul,
Poldet,64,6,601.83,3037,0,saul,
Poldet,64,7,101.01.01,0,250546,Aplicacion efectivo,
Pol,65,D,4,2016,9,2016-09-21,Aplicacion rep gastos,,0,,,0,2016-09-22 12:09:29,0,
Poldet,65,1,602.51.03,111.23,0,pago agua constituyentes fac-0142,
Poldet,65,2,118.01,17.77,0,pago agua fac-0142,
Poldet,65,3,602.83,1800,0,pago ismael santana velador cedis,
Poldet,65,4,602.51.02,290,0,compra agua tiendas playa fac-9890,
Poldet,65,5,602.83,150,0,envio paqueteria tizimin,
Poldet,65,6,602.50.01,473.27,0,pago telmex fac-2486,
Poldet,65,7,118.01,75.73,0,pago telmex fac-2486,
Poldet,65,8,602.84.01,172.23,0,compra art limpieza fac-3460,
Poldet,65,9,118.01,27.57,0,compra art limpieza fac-3460,
Poldet,65,10,602.83,150,0,envio paqueteria tizimin,
Poldet,65,11,602.52,169.24,0,pago cfe tizimin may-ago 16,
Poldet,65,12,118.01,25.76,0,pago cfe tizimin,
Poldet,65,13,602.52,1368.46,0,pago cfe tizimin may-ago 16,
Poldet,65,14,118.01,208.54,0,pago cfe tizimin,
Poldet,65,15,602.51.04,84,0,garrafones de agua tizimin fac-103,
Poldet,65,16,602.84.11,118.79,0,compra art limpieza fac-0223,
Poldet,65,17,118.01,19.01,0,compra art limpieza fac-0223,
Poldet,65,18,602.58.04,640,0,canaco tizimin,
Poldet,65,19,602.55.05,598.7,0,papeleria tizimin fac-3574,
Poldet,65,20,118.01,95.8,0,papeleria tizimin fac-3574,
Poldet,65,21,602.50.01,1093.08,0,pago telmex colosio fac-7950,
Poldet,65,22,118.01,174.92,0,pago telmex fac-7950,
Poldet,65,23,603.82.06,145,0,garrafones de agua tiendas playa fac-1310,
Poldet,65,24,602.83,1800,0,pago ismael santana velador cedis,
Poldet,65,25,602.48.26,519.42,0,magna playa fac-4170,
Poldet,65,26,118.01,80.58,0,magna playa fac-4170,
Poldet,65,27,602.51.02,116,0,garrafones de agua tiendas playa fac-5000,
Poldet,65,28,602.50.01,466.38,0,pago telmex constituyentes,
Poldet,65,29,118.01,74.62,0,pago telmex,
Poldet,65,30,602.50.01,358.62,0,pago telmex constituyentes,
Poldet,65,31,118.01,57.38,0,pago telmex,
Poldet,65,32,602.83,1800,0,pago ismael santana velador cedis,
Poldet,65,33,602.48.26,519.42,0,magna playa fac-4326,
Poldet,65,34,118.01,80.58,0,magna playa fac-4326,
Poldet,65,35,602.83,210,0,junta ventas matriz,
Poldet,65,36,602.84.06,270.35,0,gas lp cedis fac-8062,
Poldet,65,37,118.01,43.26,0,gas lp cedis fac-8062,
Poldet,65,38,602.51.02,140,0,garrafones de agua tiendas playa fac-2893,
Poldet,65,39,602.83,1800,0,pago ismael santana velador cedis,
Poldet,65,40,602.83,150,0,envio paqueteria tizimin,
Poldet,65,41,602.83,150,0,envio paqueteria tizimin,
Poldet,65,42,601.83,800,0,pago miriam saul,
Poldet,65,43,601.83,800,0,pago miriam saul,
Poldet,65,44,601.83,800,0,pago miriam saul,
Poldet,65,45,101.01.02,0,19045.71,Aplicacion efectivo,
Pol,66,D,5,2016,9,2016-09-21,Apliacion rep gastos,,0,,,0,2016-09-22 13:09:35,0,
Poldet,66,1,602.83,30,0,taxi sacar permiso,
Poldet,66,2,107.01.24,300,0,prestamo salvador,
Poldet,66,3,602.50.01,523.54,0,pago telmex fac-7306,
Poldet,66,4,118.01,77.46,0,pago telmex fac-7306,
Poldet,66,5,602.50.01,400.95,0,pago telmex fac-0545,
Poldet,66,6,118.01,64.05,0,pago telmex fac-0545,
Poldet,66,7,602.56.71,1640,0,repracion nissan 50 fac-220,
Poldet,66,8,118.01,262.4,0,repracion nissan 50 fac-220,
Poldet,66,9,602.56.71,1630,0,repracion nissan 50 fac-216,
Poldet,66,10,118.01,260.8,0,repracion nissan 50 fac-216,
Poldet,66,11,602.56.71,1630,0,repracion nissan 50 fac-219,
Poldet,66,12,118.01,260.8,0,repracion nissan 50 fac-219,
Poldet,66,13,602.58.10,3213.76,0,plan de manejo r-99 f-4564,
Poldet,66,14,602.56.81,862.06,0,compra faro fac-2826,
Poldet,66,15,118.01,137.93,0,compra faro fac-2826,
Poldet,66,16,602.65.42,228.93,0,compra agador contacto fac-3316,
Poldet,66,17,118.01,36.63,0,compra apagador contacto fac-3316,
Poldet,66,18,602.65.18,506.92,0,compra escobas fac-7342,
Poldet,66,19,118.01,81.11,0,compra escoba fac-7342,
Poldet,66,20,603.55.04,1037.96,0,papeleria tiendas fac-6532,
Poldet,66,21,118.01,166.07,0,papeleria tiendas fac-6532,
